
2024/03/21 (12:46:42) | ===> btop++ v.1.3.2
2024/03/21 (12:46:42) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/21 (12:46:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/21 (12:46:42) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/21 (12:46:42) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/21 (12:46:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/21 (12:47:04) | ===> btop++ v.1.3.2
2024/03/21 (12:47:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/21 (12:47:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/21 (12:47:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/21 (12:47:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/21 (12:47:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/28 (11:08:56) | ===> btop++ v.1.3.2
2024/03/28 (11:08:56) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/28 (11:08:56) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/28 (11:08:56) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/28 (11:08:56) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/28 (11:08:56) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/29 (23:25:38) | ===> btop++ v.1.3.2
2024/03/29 (23:25:38) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/29 (23:25:38) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/29 (23:25:38) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/29 (23:25:38) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/29 (23:25:38) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/29 (23:28:01) | ===> btop++ v.1.3.2
2024/03/29 (23:28:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/29 (23:28:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/29 (23:28:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/29 (23:28:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/29 (23:28:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/29 (23:32:41) | ===> btop++ v.1.3.2
2024/03/29 (23:32:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/29 (23:32:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/29 (23:32:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/29 (23:32:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/29 (23:32:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/03/29 (23:35:25) | ===> btop++ v.1.3.2
2024/03/29 (23:35:25) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/03/29 (23:35:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/03/29 (23:35:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/03/29 (23:35:25) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/03/29 (23:35:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (12:01:55) | ===> btop++ v.1.3.2
2024/04/03 (12:01:55) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (12:01:55) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (12:01:55) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (12:01:55) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (12:01:55) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (12:12:04) | ===> btop++ v.1.3.2
2024/04/03 (12:12:04) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (12:12:04) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (12:12:04) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (12:12:04) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (12:12:04) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (12:16:33) | ===> btop++ v.1.3.2
2024/04/03 (12:16:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (12:16:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (12:16:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (12:16:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (12:16:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/03 (12:34:30) | ===> btop++ v.1.3.2
2024/04/03 (12:34:30) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/03 (12:34:30) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/03 (12:34:30) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/03 (12:34:30) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/03 (12:34:30) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/05 (14:33:36) | ===> btop++ v.1.3.2
2024/04/05 (14:33:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/04/05 (14:33:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/04/05 (14:33:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/04/05 (14:33:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/04/05 (14:33:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/04/05 (21:10:43) | ===> btop++ v.1.3.2
